State , Action | Next State, Reward | Probability
[ 0  6], UP    | [ 1  6], 0 | 0.1
[ 1  6], LEFT  | [ 0  6], 0 | 0.8
[ 1  6], LEFT  | [ 1  5], 0 | 0.1
[ 1  6], LEFT  | [ 1  7], 0 | 0.1
[ 1  6], RIGHT | [ 2  6], 0 | 0.8
[ 1  6], RIGHT | [ 1  7], 0 | 0.1
[ 1  6], RIGHT | [ 1  5], 0 | 0.1
[ 1  6], DOWN  | [ 1  5], 0 | 0.8
[ 1  6], DOWN  | [ 2  6], 0 | 0.1
[ 1  6], DOWN  | [ 0  6], 0 | 0.1
[ 1  6], UP    | [ 1  7], 0 | 0.8
[ 1  6], UP    | [ 0  6], 0 | 0.1
[ 1  6], UP    | [ 2  6], 0 | 0.1
[ 2  6], LEFT  | [ 1  6], 0 | 0.8
[ 2  6], LEFT  | [ 2  6], 0 | 0.1
[ 2  6], LEFT  | [ 2  7], 0 | 0.1
[ 2  6], RIGHT | [ 3  6], 0 | 0.8
[ 2  6], RIGHT | [ 2  7], 0 | 0.1
[ 2  6], RIGHT | [ 2  6], 0 | 0.1
[ 2  6], DOWN  | [ 2  6], 0 | 0.8
[ 2  6], DOWN  | [ 3  6], 0 | 0.1
[ 2  6], DOWN  | [ 1  6], 0 | 0.1
[ 2  6], UP    | [ 2  7], 0 | 0.8
[ 2  6], UP    | [ 1  6], 0 | 0.1
[ 2  6], UP    | [ 3  6], 0 | 0.1
[ 3  6], LEFT  | [ 2  6], 0 | 0.8
[ 3  6], LEFT  | [ 3  6], 0 | 0.1
[ 3  6], LEFT  | [ 3  7], 0 | 0.1
[ 3  6], RIGHT | [ 4  6], 0 | 0.8
[ 3  6], RIGHT | [ 3  7], 0 | 0.1
[ 3  6], RIGHT | [ 3  6], 0 | 0.1
[ 3  6], DOWN  | [ 3  6], 0 | 0.8
[ 3  6], DOWN  | [ 4  6], 0 | 0.1
[ 3  6], DOWN  | [ 2  6], 0 | 0.1
[ 3  6], UP    | [ 3  7], 0 | 0.8
[ 3  6], UP    | [ 2  6], 0 | 0.1
[ 3  6], UP    | [ 4  6], 0 | 0.1
[ 4  6], LEFT  | [ 3  6], 0 | 0.8
[ 4  6], LEFT  | [ 4  6], 0 | 0.1
[ 4  6], LEFT  | [ 4  7], 0 | 0.1
[ 4  6], RIGHT | [ 4  6], 0 | 0.8
[ 4  6], RIGHT | [ 4  7], 0 | 0.1
[ 4  6], RIGHT | [ 4  6], 0 | 0.1
[ 4  6], DOWN  | [ 4  6], 0 | 0.8
[ 4  6], DOWN  | [ 4  6], 0 | 0.1
[ 4  6], DOWN  | [ 3  6], 0 | 0.1
[ 4  6], UP    | [ 4  7], 0 | 0.8
[ 4  6], UP    | [ 3  6], 0 | 0.1
[ 4  6], UP    | [ 4  6], 0 | 0.1
[ 6  6], LEFT  | [ 6  6], 0 | 0.8
[ 6  6], LEFT  | [ 6  5], 0 | 0.1
[ 6  6], LEFT  | [ 6  7], 0 | 0.1
[ 6  6], RIGHT | [ 7  6], 0 | 0.8
[ 6  6], RIGHT | [ 6  7], 0 | 0.1
[ 6  6], RIGHT | [ 6  5], 0 | 0.1
[ 6  6], DOWN  | [ 6  5], 0 | 0.8
[ 6  6], DOWN  | [ 7  6], 0 | 0.1
[ 6  6], DOWN  | [ 6  6], 0 | 0.1
[ 6  6], UP    | [ 6  7], 0 | 0.8
[ 6  6], UP    | [ 6  6], 0 | 0.1
[ 6  6], UP    | [ 7  6], 0 | 0.1
[ 7  6], LEFT  | [ 6  6], 0 | 0.8
[ 7  6], LEFT  | [ 7  5], 0 | 0.1
[ 7  6], LEFT  | [ 7  7], 0 | 0.1
[ 7  6], RIGHT | [ 8  6], 0 | 0.8
[ 7  6], RIGHT | [ 7  7], 0 | 0.1
[ 7  6], RIGHT | [ 7  5], 0 | 0.1
[ 7  6], DOWN  | [ 7  5], 0 | 0.8
[ 7  6], DOWN  | [ 8  6], 0 | 0.1
[ 7  6], DOWN  | [ 6  6], 0 | 0.1
[ 7  6], UP    | [ 7  7], 0 | 0.8
[ 7  6], UP    | [ 6  6], 0 | 0.1
[ 7  6], UP    | [ 8  6], 0 | 0.1
[ 8  6], LEFT  | [ 7  6], 0 | 0.8
[ 8  6], LEFT  | [ 8  5], 0 | 0.1
[ 8  6], LEFT  | [ 8  7], 0 | 0.1
[ 8  6], RIGHT | [ 9  6], 0 | 0.8
[ 8  6], RIGHT | [ 8  7], 0 | 0.1
[ 8  6], RIGHT | [ 8  5], 0 | 0.1
[ 8  6], DOWN  | [ 8  5], 0 | 0.8
[ 8  6], DOWN  | [ 9  6], 0 | 0.1
[ 8  6], DOWN  | [ 7  6], 0 | 0.1
[ 8  6], UP    | [ 8  7], 0 | 0.8
[ 8  6], UP    | [ 7  6], 0 | 0.1
[ 8  6], UP    | [ 9  6], 0 | 0.1
[ 9  6], LEFT  | [ 8  6], 0 | 0.8
[ 9  6], LEFT  | [ 9  5], 0 | 0.1
[ 9  6], LEFT  | [ 9  7], 0 | 0.1
[ 9  6], RIGHT | [10  6], 0 | 0.8
[ 9  6], RIGHT | [ 9  7], 0 | 0.1
[ 9  6], RIGHT | [ 9  5], 0 | 0.1
[ 9  6], DOWN  | [ 9  5], 0 | 0.8
[ 9  6], DOWN  | [10  6], 0 | 0.1
[ 9  6], DOWN  | [ 8  6], 0 | 0.1
[ 9  6], UP    | [ 9  7], 0 | 0.8
[ 9  6], UP    | [ 8  6], 0 | 0.1
[ 9  6], UP    | [10  6], 0 | 0.1
[10  6], LEFT  | [ 9  6], 0 | 0.8
[10  6], LEFT  | [10  5], 0 | 0.1
[10  6], LEFT  | [10  7], 0 | 0.1
[10  6], RIGHT | [10  6], 0 | 0.8
[10  6], RIGHT | [10  7], 0 | 0.1
[10  6], RIGHT | [10  5], 0 | 0.1
[10  6], DOWN  | [10  5], 0 | 0.8
[10  6], DOWN  | [10  6], 0 | 0.1
[10  6], DOWN  | [ 9  6], 0 | 0.1
[10  6], UP    | [10  7], 0 | 0.8
[10  6], UP    | [ 9  6], 0 | 0.1
[10  6], UP    | [10  6], 0 | 0.1
[ 1  5], LEFT  | [ 1  5], 0 | 0.8
[ 1  5], LEFT  | [ 1  4], 0 | 0.1
[ 1  5], LEFT  | [ 1  6], 0 | 0.1
[ 1  5], RIGHT | [ 1  5], 0 | 0.8
[ 1  5], RIGHT | [ 1  6], 0 | 0.1
[ 1  5], RIGHT | [ 1  4], 0 | 0.1
[ 1  5], DOWN  | [ 1  4], 0 | 0.8
[ 1  5], DOWN  | [ 1  5], 0 | 0.1
[ 1  5], DOWN  | [ 1  5], 0 | 0.1
[ 1  5], UP    | [ 1  6], 0 | 0.8
[ 1  5], UP    | [ 1  5], 0 | 0.1
[ 1  5], UP    | [ 1  5], 0 | 0.1
[ 6  5], LEFT  | [ 6  5], 0 | 0.8
[ 6  5], LEFT  | [ 6  5], 0 | 0.1
[ 6  5], LEFT  | [ 6  6], 0 | 0.1
[ 6  5], RIGHT | [ 7  5], 0 | 0.8
[ 6  5], RIGHT | [ 6  6], 0 | 0.1
[ 6  5], RIGHT | [ 6  5], 0 | 0.1
[ 6  5], DOWN  | [ 6  5], 0 | 0.8
[ 6  5], DOWN  | [ 7  5], 0 | 0.1
[ 6  5], DOWN  | [ 6  5], 0 | 0.1
[ 6  5], UP    | [ 6  6], 0 | 0.8
[ 6  5], UP    | [ 6  5], 0 | 0.1
[ 6  5], UP    | [ 7  5], 0 | 0.1
[ 7  5], LEFT  | [ 6  5], 0 | 0.8
[ 7  5], LEFT  | [ 7  5], 0 | 0.1
[ 7  5], LEFT  | [ 7  6], 0 | 0.1
[ 7  5], RIGHT | [ 8  5], 0 | 0.8
[ 7  5], RIGHT | [ 7  6], 0 | 0.1
[ 7  5], RIGHT | [ 7  5], 0 | 0.1
[ 7  5], DOWN  | [ 7  5], 0 | 0.8
[ 7  5], DOWN  | [ 8  5], 0 | 0.1
[ 7  5], DOWN  | [ 6  5], 0 | 0.1
[ 7  5], UP    | [ 7  6], 0 | 0.8
[ 7  5], UP    | [ 6  5], 0 | 0.1
[ 7  5], UP    | [ 8  5], 0 | 0.1
[ 8  5], LEFT  | [ 7  5], 0 | 0.8
[ 8  5], LEFT  | [ 8  4], 0 | 0.1
[ 8  5], LEFT  | [ 8  6], 0 | 0.1
[ 8  5], RIGHT | [ 9  5], 0 | 0.8
[ 8  5], RIGHT | [ 8  6], 0 | 0.1
[ 8  5], RIGHT | [ 8  4], 0 | 0.1
[ 8  5], DOWN  | [ 8  4], 0 | 0.8
[ 8  5], DOWN  | [ 9  5], 0 | 0.1
[ 8  5], DOWN  | [ 7  5], 0 | 0.1
[ 8  5], UP    | [ 8  6], 0 | 0.8
[ 8  5], UP    | [ 7  5], 0 | 0.1
[ 8  5], UP    | [ 9  5], 0 | 0.1
[ 9  5], LEFT  | [ 8  5], 0 | 0.8
[ 9  5], LEFT  | [ 9  5], 0 | 0.1
[ 9  5], LEFT  | [ 9  6], 0 | 0.1
[ 9  5], RIGHT | [10  5], 0 | 0.8
[ 9  5], RIGHT | [ 9  6], 0 | 0.1
[ 9  5], RIGHT | [ 9  5], 0 | 0.1
[ 9  5], DOWN  | [ 9  5], 0 | 0.8
[ 9  5], DOWN  | [10  5], 0 | 0.1
[ 9  5], DOWN  | [ 8  5], 0 | 0.1
[ 9  5], UP    | [ 9  6], 0 | 0.8
[ 9  5], UP    | [ 8  5], 0 | 0.1
[ 9  5], UP    | [10  5], 0 | 0.1
[10  5], LEFT  | [ 9  5], 0 | 0.8
[10  5], LEFT  | [10  5], 0 | 0.1
[10  5], LEFT  | [10  6], 0 | 0.1
[10  5], RIGHT | [10  5], 0 | 0.8
[10  5], RIGHT | [10  6], 0 | 0.1
[10  5], RIGHT | [10  5], 0 | 0.1
[10  5], DOWN  | [10  5], 0 | 0.8
[10  5], DOWN  | [10  5], 0 | 0.1
[10  5], DOWN  | [ 9  5], 0 | 0.1
[10  5], UP    | [10  6], 0 | 0.8
[10  5], UP    | [ 9  5], 0 | 0.1
[10  5], UP    | [10  5], 0 | 0.1
[ 0  4], LEFT  | [ 0  4], 0 | 0.8
[ 0  4], LEFT  | [ 0  3], 0 | 0.1
[ 0  4], LEFT  | [ 0  4], 0 | 0.1
[ 0  4], RIGHT | [ 1  4], 0 | 0.8
[ 0  4], RIGHT | [ 0  4], 0 | 0.1
[ 0  4], RIGHT | [ 0  3], 0 | 0.1
[ 0  4], DOWN  | [ 0  3], 0 | 0.8
[ 0  4], DOWN  | [ 1  4], 0 | 0.1
[ 0  4], DOWN  | [ 0  4], 0 | 0.1
[ 0  4], UP    | [ 0  4], 0 | 0.8
[ 0  4], UP    | [ 0  4], 0 | 0.1
[ 0  4], UP    | [ 1  4], 0 | 0.1
[ 1  4], LEFT  | [ 0  4], 0 | 0.8
[ 1  4], LEFT  | [ 1  3], 0 | 0.1
[ 1  4], LEFT  | [ 1  5], 0 | 0.1
[ 1  4], RIGHT | [ 2  4], 0 | 0.8
[ 1  4], RIGHT | [ 1  5], 0 | 0.1
[ 1  4], RIGHT | [ 1  3], 0 | 0.1
[ 1  4], DOWN  | [ 1  3], 0 | 0.8
[ 1  4], DOWN  | [ 2  4], 0 | 0.1
[ 1  4], DOWN  | [ 0  4], 0 | 0.1
[ 1  4], UP    | [ 1  5], 0 | 0.8
[ 1  4], UP    | [ 0  4], 0 | 0.1
[ 1  4], UP    | [ 2  4], 0 | 0.1
[ 2  4], LEFT  | [ 1  4], 0 | 0.8
[ 2  4], LEFT  | [ 2  3], 0 | 0.1
[ 2  4], LEFT  | [ 2  4], 0 | 0.1
[ 2  4], RIGHT | [ 3  4], 0 | 0.8
[ 2  4], RIGHT | [ 2  4], 0 | 0.1
[ 2  4], RIGHT | [ 2  3], 0 | 0.1
[ 2  4], DOWN  | [ 2  3], 0 | 0.8
[ 2  4], DOWN  | [ 3  4], 0 | 0.1
[ 2  4], DOWN  | [ 1  4], 0 | 0.1
[ 2  4], UP    | [ 2  4], 0 | 0.8
[ 2  4], UP    | [ 1  4], 0 | 0.1
[ 2  4], UP    | [ 3  4], 0 | 0.1
[ 3  4], LEFT  | [ 2  4], 0 | 0.8
[ 3  4], LEFT  | [ 3  3], 0 | 0.1
[ 3  4], LEFT  | [ 3  4], 0 | 0.1
[ 3  4], RIGHT | [ 4  4], 0 | 0.8
[ 3  4], RIGHT | [ 3  4], 0 | 0.1
[ 3  4], RIGHT | [ 3  3], 0 | 0.1
[ 3  4], DOWN  | [ 3  3], 0 | 0.8
[ 3  4], DOWN  | [ 4  4], 0 | 0.1
[ 3  4], DOWN  | [ 2  4], 0 | 0.1
[ 3  4], UP    | [ 3  4], 0 | 0.8
[ 3  4], UP    | [ 2  4], 0 | 0.1
[ 3  4], UP    | [ 4  4], 0 | 0.1
[ 4  4], LEFT  | [ 3  4], 0 | 0.8
[ 4  4], LEFT  | [ 4  3], 0 | 0.1
[ 4  4], LEFT  | [ 4  4], 0 | 0.1
[ 4  4], RIGHT | [ 4  4], 0 | 0.8
[ 4  4], RIGHT | [ 4  4], 0 | 0.1
[ 4  4], RIGHT | [ 4  3], 0 | 0.1
[ 4  4], DOWN  | [ 4  3], 0 | 0.8
[ 4  4], DOWN  | [ 4  4], 0 | 0.1
[ 4  4], DOWN  | [ 3  4], 0 | 0.1
[ 4  4], UP    | [ 4  4], 0 | 0.8
[ 4  4], UP    | [ 3  4], 0 | 0.1
[ 4  4], UP    | [ 4  4], 0 | 0.1
[ 8  4], LEFT  | [ 8  4], 0 | 0.8
[ 8  4], LEFT  | [ 8  3], 0 | 0.1
[ 8  4], LEFT  | [ 8  5], 0 | 0.1
[ 8  4], RIGHT | [ 8  4], 0 | 0.8
[ 8  4], RIGHT | [ 8  5], 0 | 0.1
[ 8  4], RIGHT | [ 8  3], 0 | 0.1
[ 8  4], DOWN  | [ 8  3], 0 | 0.8
[ 8  4], DOWN  | [ 8  4], 0 | 0.1
[ 8  4], DOWN  | [ 8  4], 0 | 0.1
[ 8  4], UP    | [ 8  5], 0 | 0.8
[ 8  4], UP    | [ 8  4], 0 | 0.1
[ 8  4], UP    | [ 8  4], 0 | 0.1
[ 0  3], LEFT  | [ 0  3], 0 | 0.8
[ 0  3], LEFT  | [ 0  2], 0 | 0.1
[ 0  3], LEFT  | [ 0  4], 0 | 0.1
[ 0  3], RIGHT | [ 1  3], 0 | 0.8
[ 0  3], RIGHT | [ 0  4], 0 | 0.1
[ 0  3], RIGHT | [ 0  2], 0 | 0.1
[ 0  3], DOWN  | [ 0  2], 0 | 0.8
[ 0  3], DOWN  | [ 1  3], 0 | 0.1
[ 0  3], DOWN  | [ 0  3], 0 | 0.1
[ 0  3], UP    | [ 0  4], 0 | 0.8
[ 0  3], UP    | [ 0  3], 0 | 0.1
[ 0  3], UP    | [ 1  3], 0 | 0.1
[ 1  3], LEFT  | [ 0  3], 0 | 0.8
[ 1  3], LEFT  | [ 1  2], 0 | 0.1
[ 1  3], LEFT  | [ 1  4], 0 | 0.1
[ 1  3], RIGHT | [ 2  3], 0 | 0.8
[ 1  3], RIGHT | [ 1  4], 0 | 0.1
[ 1  3], RIGHT | [ 1  2], 0 | 0.1
[ 1  3], DOWN  | [ 1  2], 0 | 0.8
[ 1  3], DOWN  | [ 2  3], 0 | 0.1
[ 1  3], DOWN  | [ 0  3], 0 | 0.1
[ 1  3], UP    | [ 1  4], 0 | 0.8
[ 1  3], UP    | [ 0  3], 0 | 0.1
[ 1  3], UP    | [ 2  3], 0 | 0.1
[ 2  3], LEFT  | [ 1  3], 0 | 0.8
[ 2  3], LEFT  | [ 2  2], 0 | 0.1
[ 2  3], LEFT  | [ 2  4], 0 | 0.1
[ 2  3], RIGHT | [ 3  3], 0 | 0.8
[ 2  3], RIGHT | [ 2  4], 0 | 0.1
[ 2  3], RIGHT | [ 2  2], 0 | 0.1
[ 2  3], DOWN  | [ 2  2], 0 | 0.8
[ 2  3], DOWN  | [ 3  3], 0 | 0.1
[ 2  3], DOWN  | [ 1  3], 0 | 0.1
[ 2  3], UP    | [ 2  4], 0 | 0.8
[ 2  3], UP    | [ 1  3], 0 | 0.1
[ 2  3], UP    | [ 3  3], 0 | 0.1
[ 3  3], LEFT  | [ 2  3], 0 | 0.8
[ 3  3], LEFT  | [ 3  2], 0 | 0.1
[ 3  3], LEFT  | [ 3  4], 0 | 0.1
[ 3  3], RIGHT | [ 4  3], 0 | 0.8
[ 3  3], RIGHT | [ 3  4], 0 | 0.1
[ 3  3], RIGHT | [ 3  2], 0 | 0.1
[ 3  3], DOWN  | [ 3  2], 0 | 0.8
[ 3  3], DOWN  | [ 4  3], 0 | 0.1
[ 3  3], DOWN  | [ 2  3], 0 | 0.1
[ 3  3], UP    | [ 3  4], 0 | 0.8
[ 3  3], UP    | [ 2  3], 0 | 0.1
[ 3  3], UP    | [ 4  3], 0 | 0.1
[ 4  3], LEFT  | [ 3  3], 0 | 0.8
[ 4  3], LEFT  | [ 4  2], 0 | 0.1
[ 4  3], LEFT  | [ 4  4], 0 | 0.1
[ 4  3], RIGHT | [ 4  3], 0 | 0.8
[ 4  3], RIGHT | [ 4  4], 0 | 0.1
[ 4  3], RIGHT | [ 4  2], 0 | 0.1
[ 4  3], DOWN  | [ 4  2], 0 | 0.8
[ 4  3], DOWN  | [ 4  3], 0 | 0.1
[ 4  3], DOWN  | [ 3  3], 0 | 0.1
[ 4  3], UP    | [ 4  4], 0 | 0.8
[ 4  3], UP    | [ 3  3], 0 | 0.1
[ 4  3], UP    | [ 4  3], 0 | 0.1
[ 6  3], LEFT  | [ 6  3], 0 | 0.8
[ 6  3], LEFT  | [ 6  2], 0 | 0.1
[ 6  3], LEFT  | [ 6  3], 0 | 0.1
[ 6  3], RIGHT | [ 7  3], 0 | 0.8
[ 6  3], RIGHT | [ 6  3], 0 | 0.1
[ 6  3], RIGHT | [ 6  2], 0 | 0.1
[ 6  3], DOWN  | [ 6  2], 0 | 0.8
[ 6  3], DOWN  | [ 7  3], 0 | 0.1
[ 6  3], DOWN  | [ 6  3], 0 | 0.1
[ 6  3], UP    | [ 6  3], 0 | 0.8
[ 6  3], UP    | [ 6  3], 0 | 0.1
[ 6  3], UP    | [ 7  3], 0 | 0.1
[ 7  3], LEFT  | [ 6  3], 0 | 0.8
[ 7  3], LEFT  | [ 7  2], 0 | 0.1
[ 7  3], LEFT  | [ 7  3], 0 | 0.1
[ 7  3], RIGHT | [ 8  3], 0 | 0.8
[ 7  3], RIGHT | [ 7  3], 0 | 0.1
[ 7  3], RIGHT | [ 7  2], 0 | 0.1
[ 7  3], DOWN  | [ 7  2], 0 | 0.8
[ 7  3], DOWN  | [ 8  3], 0 | 0.1
[ 7  3], DOWN  | [ 6  3], 0 | 0.1
[ 7  3], UP    | [ 7  3], 0 | 0.8
[ 7  3], UP    | [ 6  3], 0 | 0.1
[ 7  3], UP    | [ 8  3], 0 | 0.1
[ 8  3], LEFT  | [ 7  3], 0 | 0.8
[ 8  3], LEFT  | [ 8  2], 0 | 0.1
[ 8  3], LEFT  | [ 8  4], 0 | 0.1
[ 8  3], RIGHT | [ 9  3], 0 | 0.8
[ 8  3], RIGHT | [ 8  4], 0 | 0.1
[ 8  3], RIGHT | [ 8  2], 0 | 0.1
[ 8  3], DOWN  | [ 8  2], 0 | 0.8
[ 8  3], DOWN  | [ 9  3], 0 | 0.1
[ 8  3], DOWN  | [ 7  3], 0 | 0.1
[ 8  3], UP    | [ 8  4], 0 | 0.8
[ 8  3], UP    | [ 7  3], 0 | 0.1
[ 8  3], UP    | [ 9  3], 0 | 0.1
[ 9  3], LEFT  | [ 8  3], 0 | 0.8
[ 9  3], LEFT  | [ 9  2], 0 | 0.1
[ 9  3], LEFT  | [ 9  3], 0 | 0.1
[ 9  3], RIGHT | [10  3], 0 | 0.8
[ 9  3], RIGHT | [ 9  3], 0 | 0.1
[ 9  3], RIGHT | [ 9  2], 0 | 0.1
[ 9  3], DOWN  | [ 9  2], 0 | 0.8
[ 9  3], DOWN  | [10  3], 0 | 0.1
[ 9  3], DOWN  | [ 8  3], 0 | 0.1
[ 9  3], UP    | [ 9  3], 0 | 0.8
[ 9  3], UP    | [ 8  3], 0 | 0.1
[ 9  3], UP    | [10  3], 0 | 0.1
[10  3], LEFT  | [ 9  3], 0 | 0.8
[10  3], LEFT  | [10  2], 0 | 0.1
[10  3], LEFT  | [10  3], 0 | 0.1
[10  3], RIGHT | [10  3], 0 | 0.8
[10  3], RIGHT | [10  3], 0 | 0.1
[10  3], RIGHT | [10  2], 0 | 0.1
[10  3], DOWN  | [10  2], 0 | 0.8
[10  3], DOWN  | [10  3], 0 | 0.1
[10  3], DOWN  | [ 9  3], 0 | 0.1
[10  3], UP    | [10  3], 0 | 0.8
[10  3], UP    | [ 9  3], 0 | 0.1
[10  3], UP    | [10  3], 0 | 0.1
[ 0  2], LEFT  | [ 0  2], 0 | 0.8
[ 0  2], LEFT  | [ 0  1], 0 | 0.1
[ 0  2], LEFT  | [ 0  3], 0 | 0.1
[ 0  2], RIGHT | [ 1  2], 0 | 0.8
[ 0  2], RIGHT | [ 0  3], 0 | 0.1
[ 0  2], RIGHT | [ 0  1], 0 | 0.1
[ 0  2], DOWN  | [ 0  1], 0 | 0.8
[ 0  2], DOWN  | [ 1  2], 0 | 0.1
[ 0  2], DOWN  | [ 0  2], 0 | 0.1
[ 0  2], UP    | [ 0  3], 0 | 0.8
[ 0  2], UP    | [ 0  2], 0 | 0.1
[ 0  2], UP    | [ 1  2], 0 | 0.1
[ 1  2], LEFT  | [ 0  2], 0 | 0.8
[ 1  2], LEFT  | [ 1  1], 0 | 0.1
[ 1  2], LEFT  | [ 1  3], 0 | 0.1
[ 1  2], RIGHT | [ 2  2], 0 | 0.8
[ 1  2], RIGHT | [ 1  3], 0 | 0.1
[ 1  2], RIGHT | [ 1  1], 0 | 0.1
[ 1  2], DOWN  | [ 1  1], 0 | 0.8
[ 1  2], DOWN  | [ 2  2], 0 | 0.1
[ 1  2], DOWN  | [ 0  2], 0 | 0.1
[ 1  2], UP    | [ 1  3], 0 | 0.8
[ 1  2], UP    | [ 0  2], 0 | 0.1
[ 1  2], UP    | [ 2  2], 0 | 0.1
[ 2  2], LEFT  | [ 1  2], 0 | 0.8
[ 2  2], LEFT  | [ 2  1], 0 | 0.1
[ 2  2], LEFT  | [ 2  3], 0 | 0.1
[ 2  2], RIGHT | [ 3  2], 0 | 0.8
[ 2  2], RIGHT | [ 2  3], 0 | 0.1
[ 2  2], RIGHT | [ 2  1], 0 | 0.1
[ 2  2], DOWN  | [ 2  1], 0 | 0.8
[ 2  2], DOWN  | [ 3  2], 0 | 0.1
[ 2  2], DOWN  | [ 1  2], 0 | 0.1
[ 2  2], UP    | [ 2  3], 0 | 0.8
[ 2  2], UP    | [ 1  2], 0 | 0.1
[ 2  2], UP    | [ 3  2], 0 | 0.1
[ 3  2], LEFT  | [ 2  2], 0 | 0.8
[ 3  2], LEFT  | [ 3  1], 0 | 0.1
[ 3  2], LEFT  | [ 3  3], 0 | 0.1
[ 3  2], RIGHT | [ 4  2], 0 | 0.8
[ 3  2], RIGHT | [ 3  3], 0 | 0.1
[ 3  2], RIGHT | [ 3  1], 0 | 0.1
[ 3  2], DOWN  | [ 3  1], 0 | 0.8
[ 3  2], DOWN  | [ 4  2], 0 | 0.1
[ 3  2], DOWN  | [ 2  2], 0 | 0.1
[ 3  2], UP    | [ 3  3], 0 | 0.8
[ 3  2], UP    | [ 2  2], 0 | 0.1
[ 3  2], UP    | [ 4  2], 0 | 0.1
[ 4  2], LEFT  | [ 3  2], 0 | 0.8
[ 4  2], LEFT  | [ 4  1], 0 | 0.1
[ 4  2], LEFT  | [ 4  3], 0 | 0.1
[ 4  2], RIGHT | [ 4  2], 0 | 0.8
[ 4  2], RIGHT | [ 4  3], 0 | 0.1
[ 4  2], RIGHT | [ 4  1], 0 | 0.1
[ 4  2], DOWN  | [ 4  1], 0 | 0.8
[ 4  2], DOWN  | [ 4  2], 0 | 0.1
[ 4  2], DOWN  | [ 3  2], 0 | 0.1
[ 4  2], UP    | [ 4  3], 0 | 0.8
[ 4  2], UP    | [ 3  2], 0 | 0.1
[ 4  2], UP    | [ 4  2], 0 | 0.1
[ 6  2], LEFT  | [ 6  2], 0 | 0.8
[ 6  2], LEFT  | [ 6  1], 0 | 0.1
[ 6  2], LEFT  | [ 6  3], 0 | 0.1
[ 6  2], RIGHT | [ 7  2], 0 | 0.8
[ 6  2], RIGHT | [ 6  3], 0 | 0.1
[ 6  2], RIGHT | [ 6  1], 0 | 0.1
[ 6  2], DOWN  | [ 6  1], 0 | 0.8
[ 6  2], DOWN  | [ 7  2], 0 | 0.1
[ 6  2], DOWN  | [ 6  2], 0 | 0.1
[ 6  2], UP    | [ 6  3], 0 | 0.8
[ 6  2], UP    | [ 6  2], 0 | 0.1
[ 6  2], UP    | [ 7  2], 0 | 0.1
[ 7  2], LEFT  | [ 6  2], 0 | 0.8
[ 7  2], LEFT  | [ 7  1], 0 | 0.1
[ 7  2], LEFT  | [ 7  3], 0 | 0.1
[ 7  2], RIGHT | [ 8  2], 0 | 0.8
[ 7  2], RIGHT | [ 7  3], 0 | 0.1
[ 7  2], RIGHT | [ 7  1], 0 | 0.1
[ 7  2], DOWN  | [ 7  1], 0 | 0.8
[ 7  2], DOWN  | [ 8  2], 0 | 0.1
[ 7  2], DOWN  | [ 6  2], 0 | 0.1
[ 7  2], UP    | [ 7  3], 0 | 0.8
[ 7  2], UP    | [ 6  2], 0 | 0.1
[ 7  2], UP    | [ 8  2], 0 | 0.1
[ 8  2], LEFT  | [ 7  2], 0 | 0.8
[ 8  2], LEFT  | [ 8  1], 0 | 0.1
[ 8  2], LEFT  | [ 8  3], 0 | 0.1
[ 8  2], RIGHT | [ 9  2], 0 | 0.8
[ 8  2], RIGHT | [ 8  3], 0 | 0.1
[ 8  2], RIGHT | [ 8  1], 0 | 0.1
[ 8  2], DOWN  | [ 8  1], 0 | 0.8
[ 8  2], DOWN  | [ 9  2], 0 | 0.1
[ 8  2], DOWN  | [ 7  2], 0 | 0.1
[ 8  2], UP    | [ 8  3], 0 | 0.8
[ 8  2], UP    | [ 7  2], 0 | 0.1
[ 8  2], UP    | [ 9  2], 0 | 0.1
[ 9  2], LEFT  | [ 8  2], 0 | 0.8
[ 9  2], LEFT  | [ 9  1], 0 | 0.1
[ 9  2], LEFT  | [ 9  3], 0 | 0.1
[ 9  2], RIGHT | [10  2], 0 | 0.8
[ 9  2], RIGHT | [ 9  3], 0 | 0.1
[ 9  2], RIGHT | [ 9  1], 0 | 0.1
[ 9  2], DOWN  | [ 9  1], 0 | 0.8
[ 9  2], DOWN  | [10  2], 0 | 0.1
[ 9  2], DOWN  | [ 8  2], 0 | 0.1
[ 9  2], UP    | [ 9  3], 0 | 0.8
[ 9  2], UP    | [ 8  2], 0 | 0.1
[ 9  2], UP    | [10  2], 0 | 0.1
[10  2], LEFT  | [ 9  2], 0 | 0.8
[10  2], LEFT  | [10  1], 0 | 0.1
[10  2], LEFT  | [10  3], 0 | 0.1
[10  2], RIGHT | [10  2], 0 | 0.8
[10  2], RIGHT | [10  3], 0 | 0.1
[10  2], RIGHT | [10  1], 0 | 0.1
[10  2], DOWN  | [10  1], 0 | 0.8
[10  2], DOWN  | [10  2], 0 | 0.1
[10  2], DOWN  | [ 9  2], 0 | 0.1
[10  2], UP    | [10  3], 0 | 0.8
[10  2], UP    | [ 9  2], 0 | 0.1
[10  2], UP    | [10  2], 0 | 0.1
[ 0  1], LEFT  | [ 0  1], 0 | 0.8
[ 0  1], LEFT  | [ 0  0], 0 | 0.1
[ 0  1], LEFT  | [ 0  2], 0 | 0.1
[ 0  1], RIGHT | [ 1  1], 0 | 0.8
